id,ip,country,city,latitude,longitude,ip2,country2,city2,latitude2,longitude2,distance,flag
74419897,125.63.25.45,AU,Perth,-31.9558933,115.8605855,125.63.29.201,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74597297,106.68.231.231,AU,Melbourne,-37.8142454,144.9631732,60.241.63.163,AU,Melbourne,-37.8142454,144.9631732,0.0,low risk
74858058,130.95.108.251,AU,Crawley,-31.9746305,115.8175988,130.95.154.173,AU,Crawley,-31.9746305,115.8175988,0.0,low risk
75118311,116.206.185.138,AU,Saint Marys,-32.6367036,147.5642431,120.16.190.125,AU,Perth,-31.9558933,115.8605855,2975.92,high risk
74703360,58.169.79.193,AU,Perth,-31.9558933,115.8605855,101.175.150.129,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74703360,58.169.79.193,AU,Perth,-31.9558933,115.8605855,101.175.150.129,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74703360,58.169.79.193,AU,Perth,-31.9558933,115.8605855,101.175.150.129,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74768678,130.95.254.109,AU,Claremont,-31.980291,115.7839988,130.95.40.111,AU,Crawley,-31.9746305,115.8175988,3.24,low risk
75084223,149.167.162.98,AU,Trigg,-31.875679,115.755874,130.95.40.98,AU,Crawley,-31.9746305,115.8175988,12.43,medium risk
73749560,125.63.25.142,AU,Perth,-31.9558933,115.8605855,125.63.25.57,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74488383,130.95.40.101,AU,Crawley,-31.9746305,115.8175988,130.95.254.153,AU,Claremont,-31.980291,115.7839988,3.24,low risk
74968574,106.69.187.234,AU,Perth,-31.9558933,115.8605855,106.69.186.230,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74750378,103.94.51.1,AU,Leinster,-27.9141349,120.6977266,1.159.224.105,AU,Perth,-31.9558933,115.8605855,647.02,high risk
74757271,130.95.254.27,AU,Claremont,-31.980291,115.7839988,1.146.169.134,AU,Perth,-31.9558933,115.8605855,7.73,low risk
74563636,60.242.90.190,AU,Melbourne,-37.8142454,144.9631732,58.168.0.181,AU,Perth,-31.9558933,115.8605855,2726.64,high risk
74563636,60.242.90.190,AU,Melbourne,-37.8142454,144.9631732,58.168.0.181,AU,Perth,-31.9558933,115.8605855,2726.64,high risk
74563636,60.242.90.190,AU,Melbourne,-37.8142454,144.9631732,130.95.254.167,AU,Claremont,-31.980291,115.7839988,2732.35,high risk
75215660,130.95.254.218,AU,Claremont,-31.980291,115.7839988,130.95.254.193,AU,Claremont,-31.980291,115.7839988,0.0,low risk
73289977,130.95.254.168,AU,Claremont,-31.980291,115.7839988,101.189.11.246,AU,Perth,-31.9558933,115.8605855,7.73,low risk
75345908,115.69.43.223,AU,Brisbane,-27.4689682,153.0234991,110.175.110.215,AU,Bentley,-32.0084461,115.9065455,3608.07,high risk
75345908,115.69.43.223,AU,Brisbane,-27.4689682,153.0234991,110.175.110.215,AU,Bentley,-32.0084461,115.9065455,3608.07,high risk
74691918,121.200.36.195,AU,Perth,-31.9558933,115.8605855,130.95.40.101,AU,Crawley,-31.9746305,115.8175988,4.56,low risk
74691918,121.200.36.195,AU,Perth,-31.9558933,115.8605855,130.95.40.101,AU,Crawley,-31.9746305,115.8175988,4.56,low risk
74954987,130.95.254.172,AU,Claremont,-31.980291,115.7839988,130.95.254.174,AU,Claremont,-31.980291,115.7839988,0.0,low risk
74954987,130.95.254.172,AU,Claremont,-31.980291,115.7839988,130.95.254.174,AU,Claremont,-31.980291,115.7839988,0.0,low risk
74244367,110.175.64.85,AU,Perth,-31.9558933,115.8605855,106.68.226.198,AU,Melbourne,-37.8142454,144.9631732,2726.64,high risk
74244367,110.175.64.85,AU,Perth,-31.9558933,115.8605855,194.223.91.68,AU,Sydney,-33.8698439,151.2082848,3297.2,high risk
74469414,130.95.254.118,AU,Claremont,-31.980291,115.7839988,101.118.172.19,AU,North Sydney,-33.8354519,151.2083011,3304.05,high risk
74244367,110.175.64.85,AU,Perth,-31.9558933,115.8605855,194.223.91.68,AU,Sydney,-33.8698439,151.2082848,3297.2,high risk
74907196,130.95.254.148,AU,Claremont,-31.980291,115.7839988,106.68.240.229,AU,Perth,-31.9558933,115.8605855,7.73,low risk
74907196,130.95.254.148,AU,Claremont,-31.980291,115.7839988,106.68.240.229,AU,Perth,-31.9558933,115.8605855,7.73,low risk
74488383,130.95.40.101,AU,Crawley,-31.9746305,115.8175988,110.146.148.28,AU,Perth,-31.9558933,115.8605855,4.56,low risk
74469414,130.95.254.118,AU,Claremont,-31.980291,115.7839988,101.118.172.19,AU,North Sydney,-33.8354519,151.2083011,3304.05,high risk
74757271,130.95.254.27,AU,Claremont,-31.980291,115.7839988,130.95.254.141,AU,Claremont,-31.980291,115.7839988,0.0,low risk
74556534,58.7.184.243,AU,Perth,-31.9558933,115.8605855,49.196.200.189,AU,Perth,-31.9558933,115.8605855,0.0,low risk
75247293,49.196.231.9,AU,Perth,-31.9558933,115.8605855,49.183.67.88,AU,Beaumont,-34.9499756,138.6593163,2140.72,high risk
74944971,121.217.169.62,AU,Perth,-31.9558933,115.8605855,110.146.146.208,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74674629,130.95.254.135,AU,Claremont,-31.980291,115.7839988,134.7.244.28,AU,Bentley,-32.0084461,115.9065455,11.99,medium risk
74674629,130.95.254.135,AU,Claremont,-31.980291,115.7839988,134.7.244.28,AU,Bentley,-32.0084461,115.9065455,11.99,medium risk
74674629,130.95.254.135,AU,Claremont,-31.980291,115.7839988,134.7.244.28,AU,Bentley,-32.0084461,115.9065455,11.99,medium risk
